MASV,HOTEN,PHAI,NGSINH,DCHI,DT,KHOA,TINHTRANG
"20A918104","Nguyễn Gia Châu","0","2006-04-15","TP. Đà Nẵng","0907418287","VATLY","Đang học"
"20A222225","Hoàng Văn Hà","1","2007-01-09","Q.1, TP.HCM","0212629383","SINH","Đã thôi học"
"20A816373","Vũ Văn An","1","2005-10-22","TP. Thủ Đức","0160222897","TOAN","Đã tốt nghiệp"
"20A493839","Hoàng Gia An","0","2006-04-12","Q.10, TP.HCM","0907393044","VATLY","Đang học"
"20A799263","Vũ Gia Trang","1","2004-12-16","Q.3, TP.HCM","0150001500","VATLY","Đang học"
"20A516172","Hoàng Thị Bình","1","2006-09-14","TP. Vũng Tàu","0775509636","SINH","Đã tốt nghiệp"
"20A378684","Nguyễn Ngọc Châu","1","2000-11-27","TP. Cần Thơ","0232090023","VATLY","Đang học"
"20A696796","Đặng Thị Bình","0","2003-01-04","TP. Vũng Tàu","0324295071","HOA","Đã tốt nghiệp"
"20A911340","Nguyễn Ngọc Phúc","1","2002-10-09","Q.5, TP.HCM","0758778284","HOA","Bảo lưu kết quả học tập"
"20A260208","Trần Anh Phúc","1","2002-10-18","TP. Hà Nội","0285782538","SINH","Đang học"
"20A847953","Phạm Minh Vy","1","2005-09-13","TP. Đà Nẵng","0815258398","TOAN","Đã thôi học"
"20A106973","Bùi Gia Trang","1","2003-01-11","TP. Biên Hòa","0247038300","TOAN","Đã thôi học"
"20A881090","Phan Anh Trang","1","2002-04-10","Q.5, TP.HCM","0751885357","CNTT","Đang học"
"20A564220","Hoàng Ngọc Tú","1","2004-09-06","TP. Vũng Tàu","0352652717","VATLY","Đã tốt nghiệp"
"20A100164","Trần Hữu Dũng","1","2003-08-04","TP. Vũng Tàu","0134510037","HOA","Đang học"
"20A516991","Phạm Ngọc Quân","0","2004-11-05","TP. Thủ Đức","0375124391","VATLY","Đã tốt nghiệp"
"20A295409","Phan Hữu Nam","0","2003-04-05","Q.3, TP.HCM","0482279328","VATLY","Bảo lưu kết quả học tập"
"20A435660","Phạm Văn Dũng","0","2001-01-02","TP. Đà Nẵng","0340938802","KHKT","Đã tốt nghiệp"
"20A616140","Trần Minh Hà","0","2006-02-03","Q.5, TP.HCM","0572902482","KHKT","Đang học"
"20A654357","Phan Hữu Hà","1","2004-04-11","Q.3, TP.HCM","0823119986","HOA","Đang học"
"20A437125","Đặng Ngọc Hương","1","2006-01-26","TP. Thủ Đức","0429844538","VATLY","Đang học"
"20A249290","Lê Thị Hương","0","2001-10-31","TP. Hà Nội","0649193085","VATLY","Đang học"
"20A643630","Vũ Thị Phúc","1","2005-06-17","Q.10, TP.HCM","0178578555","HOA","Đã thôi học"
"20A504758","Phạm Hữu Châu","0","2005-12-19","TP. Thủ Đức","0378893256","KHKT","Đã thôi học"
"20A783853","Trần Anh Hương","1","2002-03-21","TP. Hà Nội","0541131456","SINH","Bảo lưu kết quả học tập"
"20A162820","Phan Minh Hương","1","2002-02-13","TP. Đà Nẵng","0256716358","HOA","Bảo lưu kết quả học tập"
"20A982532","Bùi Ngọc Hà","0","2007-02-25","Q.10, TP.HCM","0127738499","HOA","Bảo lưu kết quả học tập"
"20A243219","Nguyễn Anh Châu","1","2002-11-01","Q.1, TP.HCM","0138688759","TOAN","Bảo lưu kết quả học tập"
"20A385134","Nguyễn Văn Tú","1","2005-08-14","TP. Đà Nẵng","0316492104","VATLY","Đang học"
"20A721012","Bùi Thị Phúc","1","2004-04-28","TP. Hà Nội","0386589766","KHKT","Đang học"
"20A813343","Hoàng Anh Hà","1","2005-11-08","TP. Cần Thơ","0467733522","SINH","Đã tốt nghiệp"
"20A557461","Trần Ngọc Linh","1","2002-06-16","Q.1, TP.HCM","0611246908","HOA","Đã thôi học"
"20A570431","Trần Minh An","0","2001-08-18","Q.3, TP.HCM","0910629904","CNTT","Đã tốt nghiệp"
"20A369212","Bùi Anh Vy","0","2004-01-15","Q.1, TP.HCM","0216013852","TOAN","Đã thôi học"
"20A265844","Lê Minh Bình","1","2005-03-17","TP. Đà Nẵng","0344413594","CNTT","Đã thôi học"
"20A297185","Phạm Ngọc Linh","0","2006-05-29","TP. Thủ Đức","0820323956","CNTT","Đã thôi học"
"20A893370","Đặng Anh Vy","0","2001-06-17","TP. Thủ Đức","0422902226","VATLY","Đã tốt nghiệp"
"20A305188","Bùi Minh Tú","0","2000-07-10","TP. Biên Hòa","0729429353","TOAN","Đang học"
"20A213814","Lê Hữu Dũng","1","2005-09-22","Q.5, TP.HCM","0990587221","SINH","Bảo lưu kết quả học tập"
"20A933882","Đặng Thị Khánh","0","2006-10-27","Q.3, TP.HCM","0348776884","HOA","Đang học"
"20A112705","Phan Gia Châu","1","2003-11-09","TP. Vũng Tàu","0541123788","TOAN","Đã tốt nghiệp"
"20A107027","Bùi Văn Hương","0","2004-10-06","Q.5, TP.HCM","0579482084","CNTT","Đang học"
"20A182394","Vũ Ngọc Hương","1","2005-10-29","TP. Đà Nẵng","0593314954","KHKT","Đang học"
"20A189216","Bùi Anh Trang","0","2001-03-16","TP. Biên Hòa","0489824652","KHKT","Đã tốt nghiệp"
"20A815920","Nguyễn Hữu Hương","1","2003-04-29","Q.5, TP.HCM","0416381527","VATLY","Đang học"
"20A778835","Hoàng Ngọc Quân","0","2006-10-15","Q.5, TP.HCM","0869918138","KHKT","Đã thôi học"
"20A194057","Bùi Ngọc Dũng","1","2003-10-19","Q.3, TP.HCM","0412386311","KHKT","Đang học"
"20A710719","Nguyễn Thị An","1","2003-02-04","TP. Hà Nội","0837893450","TOAN","Bảo lưu kết quả học tập"
"20A187758","Phan Hữu Phúc","0","2001-09-18","Q.3, TP.HCM","0630528155","SINH","Đang học"
"20A154995","Vũ Minh Hương","1","2000-11-11","Q.3, TP.HCM","0404854000","SINH","Đã thôi học"
"20A205535","Hoàng Anh Quân","1","2003-09-04","TP. Hà Nội","0318043858","CNTT","Bảo lưu kết quả học tập"
"20A566620","Phạm Anh Dũng","1","2006-12-02","TP. Vũng Tàu","0887409129","VATLY","Bảo lưu kết quả học tập"
"20A768689","Lê Anh Bình","0","2006-03-26","Q.1, TP.HCM","0289354616","SINH","Đang học"
"20A822770","Vũ Anh Hương","1","2001-11-04","TP. Cần Thơ","0849527775","CNTT","Đã tốt nghiệp"
"20A370275","Lê Văn An","0","2006-12-03","TP. Biên Hòa","0376360295","KHKT","Đã thôi học"
"20A862537","Lê Ngọc Hương","0","2004-02-08","TP. Cần Thơ","0230061019","VATLY","Đã tốt nghiệp"
"20A233307","Bùi Văn Linh","0","2002-06-12","Q.1, TP.HCM","0664606128","HOA","Đã thôi học"
"20A192096","Trần Thị Trang","0","2004-04-03","Q.5, TP.HCM","0528584582","TOAN","Đã thôi học"
"20A967053","Phạm Hữu An","1","2005-08-04","TP. Vũng Tàu","0150658254","SINH","Đã thôi học"
"20A247669","Vũ Hữu An","1","2005-03-21","Q.3, TP.HCM","0382462283","SINH","Đã thôi học"
"20A543092","Phan Thị Dũng","0","2002-08-30","TP. Biên Hòa","0481244392","CNTT","Đã tốt nghiệp"
"20A101221","Bùi Thị Trang","1","2002-07-03","Q.5, TP.HCM","0662303069","HOA","Bảo lưu kết quả học tập"
"20A857137","Nguyễn Văn Hương","1","2006-07-22","Q.1, TP.HCM","0692442129","CNTT","Bảo lưu kết quả học tập"
"20A389252","Trần Văn Nam","0","2006-03-27","Q.1, TP.HCM","0891518346","VATLY","Đã thôi học"
"20A502301","Nguyễn Ngọc Hà","0","2004-11-21","Q.10, TP.HCM","0562408884","CNTT","Đang học"
"20A392613","Phạm Gia Tú","1","2002-11-15","Q.3, TP.HCM","0142400177","SINH","Bảo lưu kết quả học tập"
"20A479322","Phạm Gia Phúc","1","2005-01-29","Q.3, TP.HCM","0488217787","KHKT","Đang học"
"20A191264","Đặng Anh Quân","1","2004-03-16","Q.5, TP.HCM","0243224913","TOAN","Đã thôi học"
"20A695521","Phan Hữu Hà","0","2000-07-28","TP. Thủ Đức","0462993903","CNTT","Đang học"
"20A397107","Trần Ngọc Dũng","1","2000-07-04","Q.1, TP.HCM","0134045119","CNTT","Bảo lưu kết quả học tập"
"20A988401","Nguyễn Anh Nam","1","2004-04-30","TP. Hà Nội","0322600127","TOAN","Bảo lưu kết quả học tập"
"20A764801","Lê Ngọc Linh","0","2000-07-02","Q.1, TP.HCM","0420344291","HOA","Đã tốt nghiệp"
"20A478875","Đặng Minh Bình","1","2003-04-25","Q.1, TP.HCM","0246359360","CNTT","Đã tốt nghiệp"
"20A821483","Bùi Văn An","0","2004-04-09","Q.5, TP.HCM","0483358435","VATLY","Đã thôi học"
"20A216781","Nguyễn Hữu Nam","1","2002-04-30","Q.1, TP.HCM","0734257013","VATLY","Đã thôi học"
"20A136986","Trần Văn Bình","0","2002-03-02","TP. Vũng Tàu","0223097630","SINH","Đang học"
"20A564014","Vũ Hữu Châu","1","2006-01-20","Q.1, TP.HCM","0108315914","VATLY","Đã thôi học"
"20A113553","Đặng Gia Hà","1","2006-05-14","Q.3, TP.HCM","0728697056","SINH","Đã thôi học"
"20A912412","Hoàng Hữu Bình","0","2004-10-27","Q.10, TP.HCM","0595841617","SINH","Đang học"
"20A536293","Bùi Văn Nam","0","2001-06-29","TP. Thủ Đức","0945393623","HOA","Đã tốt nghiệp"
"20A598433","Vũ Văn Dũng","1","2004-07-05","Q.5, TP.HCM","0682569508","TOAN","Bảo lưu kết quả học tập"
"20A338777","Vũ Văn Khánh","1","2007-01-19","TP. Hà Nội","0833794424","TOAN","Đã thôi học"
"20A458190","Vũ Hữu Quân","1","2001-02-20","TP. Biên Hòa","0610349239","KHKT","Bảo lưu kết quả học tập"
"20A920573","Vũ Anh An","1","2004-09-29","TP. Biên Hòa","0696274007","VATLY","Bảo lưu kết quả học tập"
"20A235661","Nguyễn Anh Linh","0","2004-06-20","Q.3, TP.HCM","0365465099","CNTT","Đã thôi học"
"20A697711","Trần Minh Quân","0","2005-01-24","TP. Đà Nẵng","0159849082","HOA","Bảo lưu kết quả học tập"
"20A223834","Bùi Ngọc Trang","1","2005-11-06","Q.1, TP.HCM","0376802237","VATLY","Đã thôi học"
"20A577325","Trần Ngọc Vy","0","2003-08-22","TP. Hà Nội","0421483337","CNTT","Bảo lưu kết quả học tập"
"20A450987","Vũ Anh Châu","0","2000-07-28","TP. Cần Thơ","0303007995","SINH","Đã thôi học"
"20A242628","Trần Hữu Quân","0","2004-11-23","TP. Đà Nẵng","0387284897","HOA","Đã tốt nghiệp"
"20A875165","Trần Văn Hương","0","2002-09-02","Q.3, TP.HCM","0190270311","CNTT","Đang học"
"20A694915","Phan Hữu Dũng","0","2004-05-16","TP. Biên Hòa","0948415071","KHKT","Đã thôi học"
"20A429176","Đặng Ngọc Linh","0","2004-05-25","TP. Hà Nội","0325273843","HOA","Bảo lưu kết quả học tập"
"20A452982","Trần Minh Hà","0","2002-06-10","TP. Hà Nội","0407623573","KHKT","Đang học"
"20A731273","Phạm Ngọc Hà","0","2004-08-26","Q.1, TP.HCM","0536431634","HOA","Bảo lưu kết quả học tập"
"20A875043","Hoàng Gia Vy","1","2007-01-24","TP. Vũng Tàu","0935743523","CNTT","Bảo lưu kết quả học tập"
"20A960762","Trần Thị Nam","0","2001-10-31","TP. Cần Thơ","0816312938","VATLY","Đã thôi học"
"20A690969","Nguyễn Thị Trang","0","2005-07-17","Q.10, TP.HCM","0861659074","KHKT","Bảo lưu kết quả học tập"
"20A528087","Đặng Gia Bình","0","2006-04-27","TP. Hà Nội","0468374340","HOA","Đã thôi học"
"20A498659","Đặng Thị Vy","0","2000-10-16","Q.1, TP.HCM","0263560487","TOAN","Đã thôi học"
"20A757553","Lê Anh Nam","1","2003-04-05","TP. Biên Hòa","0967240647","TOAN","Đã tốt nghiệp"
"20A768810","Lê Văn Quân","0","2000-11-30","TP. Biên Hòa","0391751872","SINH","Bảo lưu kết quả học tập"
"20A211819","Bùi Thị Linh","1","2002-05-11","TP. Thủ Đức","0731373869","SINH","Đã thôi học"
"20A122999","Phan Hữu Khánh","1","2004-08-01","TP. Biên Hòa","0980426119","CNTT","Đang học"
"20A366434","Bùi Ngọc Phúc","1","2006-01-11","TP. Thủ Đức","0443988805","HOA","Đang học"
"20A371431","Vũ Thị Châu","0","2003-02-21","TP. Hà Nội","0935629269","KHKT","Đã tốt nghiệp"
"20A742432","Đặng Hữu Dũng","1","2007-01-15","TP. Hà Nội","0183459825","SINH","Đã tốt nghiệp"
"20A519456","Bùi Minh Trang","0","2001-02-13","TP. Đà Nẵng","0397920155","CNTT","Đã tốt nghiệp"
"20A936416","Hoàng Gia Trang","1","2006-03-14","Q.5, TP.HCM","0418785041","TOAN","Bảo lưu kết quả học tập"
"20A779687","Nguyễn Ngọc Hương","1","2000-05-11","Q.3, TP.HCM","0983133230","CNTT","Bảo lưu kết quả học tập"
"20A342879","Bùi Ngọc Bình","1","2002-02-18","TP. Thủ Đức","0164193164","HOA","Bảo lưu kết quả học tập"
"20A510109","Bùi Minh Bình","0","2005-10-28","TP. Hà Nội","0631571477","HOA","Đã tốt nghiệp"
"20A854008","Trần Anh Dũng","0","2003-10-06","Q.3, TP.HCM","0201887493","KHKT","Đang học"
"20A574468","Bùi Minh Bình","0","2002-03-02","TP. Cần Thơ","0963575730","CNTT","Đã tốt nghiệp"
"20A599249","Bùi Thị Châu","0","2005-04-27","Q.10, TP.HCM","0487444409","TOAN","Bảo lưu kết quả học tập"
"20A862527","Phan Thị Nam","1","2000-04-25","TP. Biên Hòa","0219079931","KHKT","Đang học"
"20A267833","Phạm Minh Vy","0","2007-03-09","Q.10, TP.HCM","0287868811","CNTT","Đã tốt nghiệp"
"20A995843","Trần Gia Phúc","1","2002-11-25","TP. Cần Thơ","0289029170","SINH","Đã thôi học"
"20A894360","Bùi Hữu Bình","0","2005-11-13","TP. Hà Nội","0141209779","SINH","Bảo lưu kết quả học tập"
"20A568101","Lê Hữu An","1","2002-05-26","Q.5, TP.HCM","0862361005","KHKT","Đã tốt nghiệp"
"20A931664","Đặng Ngọc Khánh","0","2003-06-03","Q.10, TP.HCM","0609785089","SINH","Đang học"
"20A954714","Bùi Thị Phúc","0","2005-10-21","TP. Biên Hòa","0845237242","CNTT","Đã tốt nghiệp"
"20A814148","Trần Ngọc Quân","0","2002-06-20","TP. Thủ Đức","0693897848","KHKT","Đã tốt nghiệp"
"20A646707","Bùi Thị Vy","0","2002-09-16","TP. Vũng Tàu","0880435054","TOAN","Đang học"
"20A540455","Hoàng Minh Quân","0","2004-06-12","Q.3, TP.HCM","0412121616","SINH","Đang học"
"20A350307","Vũ Ngọc Châu","1","2004-11-22","Q.10, TP.HCM","0346909695","KHKT","Đã thôi học"
"20A560559","Phan Thị Nam","0","2003-12-23","TP. Hà Nội","0307027711","KHKT","Đã thôi học"
"20A935566","Phạm Hữu Tú","0","2004-05-13","Q.10, TP.HCM","0705143882","CNTT","Đang học"
"20A505222","Lê Gia Khánh","0","2003-02-25","TP. Cần Thơ","0140797893","SINH","Đang học"
"20A276753","Hoàng Minh Bình","0","2006-04-09","Q.10, TP.HCM","0762980518","TOAN","Đã tốt nghiệp"
"20A645760","Trần Văn Linh","0","2005-07-25","Q.10, TP.HCM","0159329004","SINH","Đã thôi học"
"20A554482","Lê Hữu Khánh","1","2005-02-03","Q.1, TP.HCM","0905563692","HOA","Đã thôi học"
"20A875022","Lê Hữu Phúc","1","2000-07-07","Q.10, TP.HCM","0950794015","VATLY","Bảo lưu kết quả học tập"
"20A374490","Phan Anh Bình","0","2006-07-09","Q.5, TP.HCM","0651341287","TOAN","Đã thôi học"
"20A546509","Phạm Thị Tú","0","2003-02-11","TP. Thủ Đức","0876988153","HOA","Đã thôi học"
"20A518885","Vũ Thị Vy","0","2004-09-20","Q.10, TP.HCM","0961259978","KHKT","Đã tốt nghiệp"
"20A386458","Vũ Gia Hà","1","2004-06-22","Q.3, TP.HCM","0796283591","HOA","Bảo lưu kết quả học tập"
"20A907821","Phạm Ngọc Vy","0","2006-06-30","TP. Hà Nội","0533630990","CNTT","Đã thôi học"
"20A103130","Nguyễn Anh Tú","1","2000-08-05","Q.5, TP.HCM","0922149804","HOA","Bảo lưu kết quả học tập"
"20A703927","Vũ Hữu Châu","0","2004-06-12","Q.3, TP.HCM","0562276103","KHKT","Đang học"
"20A126222","Phạm Ngọc Hà","1","2005-04-07","Q.1, TP.HCM","0114313648","SINH","Đang học"
"20A740269","Lê Hữu Dũng","1","2002-10-23","TP. Biên Hòa","0736965590","TOAN","Bảo lưu kết quả học tập"
"20A475583","Lê Ngọc Châu","1","2002-12-11","TP. Vũng Tàu","0810740781","TOAN","Đang học"
"20A275812","Đặng Hữu Phúc","1","2006-10-12","Q.10, TP.HCM","0343446656","CNTT","Đang học"
"20A287778","Trần Ngọc Khánh","1","2001-03-17","TP. Đà Nẵng","0210364867","HOA","Đang học"
"20A713287","Phạm Văn Châu","0","2003-09-02","Q.3, TP.HCM","0659279226","KHKT","Đã tốt nghiệp"
"20A150372","Đặng Hữu Trang","0","2004-03-27","TP. Biên Hòa","0420126714","TOAN","Bảo lưu kết quả học tập"
"20A665789","Phan Ngọc An","0","2004-10-16","Q.1, TP.HCM","0576078984","HOA","Đã thôi học"
"20A495141","Hoàng Anh Tú","1","2004-05-25","Q.5, TP.HCM","0704876195","KHKT","Đang học"
"20A795722","Nguyễn Gia Vy","0","2002-07-06","Q.5, TP.HCM","0415581989","CNTT","Đã tốt nghiệp"
"20A882684","Vũ Anh Linh","0","2005-10-13","Q.5, TP.HCM","0927166601","SINH","Bảo lưu kết quả học tập"
"20A740255","Nguyễn Anh Khánh","0","2003-08-02","Q.5, TP.HCM","0433783825","VATLY","Đang học"
"20A844751","Nguyễn Thị Châu","1","2000-08-19","Q.10, TP.HCM","0590980607","HOA","Bảo lưu kết quả học tập"
"20A844134","Lê Văn Khánh","0","2005-04-06","TP. Thủ Đức","0606385931","SINH","Đang học"
"20A393230","Đặng Gia An","0","2007-03-04","Q.5, TP.HCM","0251411260","SINH","Đã thôi học"
"20A186698","Bùi Gia Nam","1","2006-11-01","TP. Hà Nội","0385094294","VATLY","Đã tốt nghiệp"
"20A147877","Hoàng Thị Trang","1","2005-03-27","TP. Vũng Tàu","0444911423","KHKT","Đang học"
"20A665474","Bùi Gia Trang","1","2002-05-11","Q.1, TP.HCM","0102525218","HOA","Đang học"
"20A132031","Trần Gia Hà","1","2006-04-18","Q.1, TP.HCM","0877824647","SINH","Đã thôi học"
"20A845608","Nguyễn Hữu Hương","0","2006-01-04","TP. Vũng Tàu","0941573464","KHKT","Đã tốt nghiệp"
"20A434514","Hoàng Ngọc Dũng","1","2004-08-05","TP. Hà Nội","0789043441","CNTT","Bảo lưu kết quả học tập"
"20A269028","Vũ Hữu An","1","2002-04-07","TP. Vũng Tàu","0168372135","TOAN","Bảo lưu kết quả học tập"
"20A278082","Hoàng Minh Linh","1","2006-09-05","TP. Cần Thơ","0713568228","TOAN","Đang học"
"20A709002","Trần Gia Linh","1","2004-07-21","TP. Vũng Tàu","0147175119","TOAN","Đang học"
"20A796198","Nguyễn Ngọc Trang","0","2004-03-29","Q.5, TP.HCM","0865855810","TOAN","Đang học"
"20A640363","Nguyễn Ngọc Bình","0","2001-11-04","TP. Thủ Đức","0714942607","TOAN","Đã tốt nghiệp"
"20A543583","Nguyễn Văn Hương","0","2001-05-25","TP. Hà Nội","0924835903","SINH","Đang học"
"20A861869","Phạm Ngọc Khánh","1","2006-12-30","TP. Biên Hòa","0774351088","VATLY","Đang học"
"20A169298","Phan Minh Trang","1","2004-01-26","TP. Vũng Tàu","0831014173","TOAN","Đang học"
"20A723965","Vũ Hữu Khánh","1","2003-11-25","TP. Đà Nẵng","0878348864","TOAN","Đã tốt nghiệp"
"20A830418","Lê Anh Bình","1","2004-11-04","TP. Thủ Đức","0392467230","VATLY","Đang học"
"20A753359","Hoàng Anh Nam","0","2004-08-23","Q.5, TP.HCM","0543891815","TOAN","Đã thôi học"
"20A164311","Trần Gia Tú","1","2005-08-30","TP. Thủ Đức","0629055138","SINH","Đang học"
"20A730998","Phạm Anh Châu","0","2002-08-02","TP. Thủ Đức","0593110472","VATLY","Đã thôi học"
"20A663005","Lê Minh Châu","0","2001-09-07","TP. Hà Nội","0206200670","VATLY","Đã thôi học"
"20A499927","Nguyễn Anh Linh","1","2004-02-24","TP. Vũng Tàu","0337969564","TOAN","Đã thôi học"
"20A193099","Vũ Văn An","1","2006-12-28","TP. Cần Thơ","0839152557","SINH","Đã thôi học"
"20A662704","Bùi Gia An","0","2005-01-29","Q.1, TP.HCM","0744814482","VATLY","Đang học"
"20A302910","Vũ Minh Vy","1","2004-10-06","TP. Biên Hòa","0944333552","TOAN","Bảo lưu kết quả học tập"
"20A306527","Phan Anh Dũng","1","2007-02-19","TP. Biên Hòa","0936640782","TOAN","Đã thôi học"
"20A529942","Bùi Ngọc An","1","2002-12-11","TP. Thủ Đức","0373115075","KHKT","Đã thôi học"
"20A961087","Vũ Hữu Tú","0","2000-08-07","TP. Hà Nội","0859796877","TOAN","Đã thôi học"
"20A476496","Phan Ngọc An","0","2002-03-01","Q.10, TP.HCM","0408959673","SINH","Đã thôi học"
"20A566483","Lê Minh Dũng","0","2003-03-09","Q.10, TP.HCM","0749363239","VATLY","Đã thôi học"
"20A701059","Phan Văn Châu","1","2003-06-06","TP. Đà Nẵng","0777595230","HOA","Đã tốt nghiệp"
"20A984836","Phạm Anh Bình","1","2005-06-13","TP. Biên Hòa","0938605568","VATLY","Đã tốt nghiệp"
"20A196953","Hoàng Gia Hà","1","2002-01-02","Q.5, TP.HCM","0160019145","SINH","Đã thôi học"
"20A214576","Hoàng Thị Vy","1","2003-01-22","TP. Hà Nội","0161517953","TOAN","Đã thôi học"
"20A761222","Bùi Thị Tú","1","2003-10-12","TP. Hà Nội","0897467106","KHKT","Đã thôi học"
"20A268417","Nguyễn Văn Hương","1","2001-03-18","Q.5, TP.HCM","0806721592","KHKT","Đã tốt nghiệp"
"20A973654","Hoàng Gia Vy","0","2006-08-10","Q.10, TP.HCM","0324685735","HOA","Đã tốt nghiệp"
"20A636303","Đặng Hữu Châu","0","2004-06-25","TP. Hà Nội","0660843802","TOAN","Đã tốt nghiệp"
"20A971128","Hoàng Thị Châu","1","2007-01-02","TP. Đà Nẵng","0332330578","VATLY","Đã thôi học"
"20A131089","Bùi Gia Dũng","0","2007-03-12","Q.1, TP.HCM","0307463533","HOA","Đang học"
"20A522718","Phạm Thị Nam","1","2005-12-02","TP. Biên Hòa","0687018217","KHKT","Đã tốt nghiệp"
"20A847334","Phạm Gia Hà","0","2005-07-29","TP. Đà Nẵng","0465389480","KHKT","Đang học"
"20A514192","Hoàng Minh Bình","1","2004-05-17","TP. Biên Hòa","0445636633","KHKT","Bảo lưu kết quả học tập"
"20A137698","Lê Hữu Quân","1","2004-10-07","Q.1, TP.HCM","0158483651","VATLY","Bảo lưu kết quả học tập"
"20A505218","Vũ Văn Phúc","0","2003-10-22","TP. Hà Nội","0850349448","SINH","Đang học"
"20A368997","Phạm Minh Vy","0","2005-06-17","Q.10, TP.HCM","0578724909","CNTT","Đang học"
"20A243950","Lê Gia Phúc","1","2006-05-15","TP. Cần Thơ","0482216603","TOAN","Đang học"
"20A196891","Phạm Văn Trang","0","2003-09-23","Q.3, TP.HCM","0458058919","SINH","Đã thôi học"
"20A499492","Phạm Văn Hà","0","2004-05-31","TP. Thủ Đức","0351437406","VATLY","Bảo lưu kết quả học tập"
"20A698030","Phan Anh Châu","0","2002-05-30","Q.10, TP.HCM","0296205269","HOA","Đang học"
"20A895132","Nguyễn Văn Bình","0","2002-03-19","Q.10, TP.HCM","0367408954","SINH","Đã tốt nghiệp"
"20A272242","Trần Gia Vy","1","2002-05-16","TP. Đà Nẵng","0310416143","VATLY","Đã thôi học"
"20A962611","Bùi Ngọc Quân","0","2006-04-26","Q.1, TP.HCM","0554278686","HOA","Đang học"
"20A658384","Trần Gia Hương","0","2003-03-22","TP. Thủ Đức","0590665940","KHKT","Bảo lưu kết quả học tập"
"20A899611","Vũ Gia Quân","1","2002-01-06","TP. Đà Nẵng","0602186564","SINH","Đã thôi học"
"20A726501","Phạm Hữu Khánh","0","2006-12-11","TP. Thủ Đức","0957325739","HOA","Đã thôi học"
"20A765169","Phạm Ngọc Châu","0","2004-05-02","Q.1, TP.HCM","0586816326","KHKT","Đang học"
"20A432942","Hoàng Gia Dũng","1","2007-01-22","Q.1, TP.HCM","0243863302","CNTT","Đang học"
"20A331437","Trần Gia Phúc","0","2003-12-22","Q.10, TP.HCM","0487950353","TOAN","Đang học"
"20A684973","Đặng Gia Phúc","0","2004-04-30","TP. Biên Hòa","0194922806","SINH","Đã tốt nghiệp"
"20A485211","Trần Minh Bình","0","2002-05-21","TP. Biên Hòa","0451925041","KHKT","Đã tốt nghiệp"
"20A168688","Vũ Minh Nam","1","2001-10-13","Q.5, TP.HCM","0810341152","CNTT","Bảo lưu kết quả học tập"
"20A592536","Hoàng Ngọc Phúc","1","2003-09-15","Q.1, TP.HCM","0482182982","TOAN","Đã tốt nghiệp"
"20A638530","Bùi Ngọc Hà","0","2002-10-19","TP. Đà Nẵng","0558658699","VATLY","Đã thôi học"
"20A361293","Lê Anh Hương","1","2004-03-08","TP. Đà Nẵng","0104117997","HOA","Đang học"
"20A851271","Phạm Gia Hương","1","2003-08-14","TP. Đà Nẵng","0756116695","SINH","Đang học"
"20A726328","Hoàng Hữu Phúc","0","2003-06-05","Q.10, TP.HCM","0964803985","CNTT","Đã tốt nghiệp"
"20A963697","Nguyễn Minh Phúc","1","2007-03-25","TP. Hà Nội","0343699146","TOAN","Bảo lưu kết quả học tập"
"20A621256","Lê Văn Quân","0","2001-04-12","Q.10, TP.HCM","0712270279","HOA","Đã tốt nghiệp"
"20A743262","Vũ Văn Bình","1","2000-10-26","TP. Hà Nội","0300839460","KHKT","Bảo lưu kết quả học tập"
"20A815818","Phan Anh Tú","0","2006-12-31","Q.1, TP.HCM","0219667468","KHKT","Đã tốt nghiệp"
"20A504148","Hoàng Minh Quân","0","2004-10-16","Q.10, TP.HCM","0781396283","KHKT","Bảo lưu kết quả học tập"
"20A811525","Phạm Thị Hương","1","2006-12-27","TP. Hà Nội","0999109165","CNTT","Đã thôi học"
"20A365791","Vũ Minh Dũng","0","2000-10-10","Q.5, TP.HCM","0270250582","VATLY","Đã thôi học"
"20A425148","Đặng Thị Dũng","0","2001-06-27","TP. Hà Nội","0677435770","TOAN","Đang học"
"20A210525","Phan Ngọc Quân","0","2004-12-02","TP. Thủ Đức","0689067227","VATLY","Đang học"
"20A625823","Vũ Hữu Hương","0","2006-10-29","Q.5, TP.HCM","0907883699","TOAN","Bảo lưu kết quả học tập"
"20A758767","Vũ Gia Hà","1","2002-01-07","TP. Biên Hòa","0187951278","TOAN","Đã tốt nghiệp"
"20A993090","Bùi Gia Khánh","1","2002-03-01","Q.10, TP.HCM","0454430636","CNTT","Đang học"
"20A638939","Đặng Thị Tú","1","2005-03-28","TP. Cần Thơ","0301164541","TOAN","Đã tốt nghiệp"
"20A326844","Nguyễn Anh Hà","0","2004-11-29","TP. Biên Hòa","0135383768","HOA","Đang học"
"20A135212","Bùi Minh Châu","0","2000-05-08","Q.1, TP.HCM","0584671723","SINH","Bảo lưu kết quả học tập"
"20A437031","Phan Văn An","0","2001-05-24","TP. Cần Thơ","0542645645","VATLY","Đã thôi học"
"20A552344","Đặng Ngọc Bình","0","2007-03-07","TP. Hà Nội","0760354302","TOAN","Đã tốt nghiệp"
"20A771613","Nguyễn Anh Bình","0","2005-02-08","TP. Biên Hòa","0518552987","HOA","Bảo lưu kết quả học tập"
